gênero,artista,música,letra
Sertanejo Raiz,Tiao Carreiro E Pardinho,A Mão do Tempo,Na solidão do meu peito o meu coração reclama Por amar quem está distante e viver com quem não ama Eu sei que você também da mesma sina se queixa Querendo viver comigo mas o destino não deixa Que bom se a gente pudesse arrancar do pensamento E sepultar a saudade na noite do esquecimento Mas a sombra da lembrança é igual a sombra da gente Pelos caminhos da vida ela está sempre presente Vai lembrança e não me faça querer um amor impossível Se o lembrar nos faz sofrer esquecer é preferível Do que adianta querer bem alguém que já foi embora É como amar uma estrela que foge ao romper da aurora Arranque da nossa mente horas distantes vividas Longas estradas que um dia foram por nós percorridas Apague com a mão do tempo os nossos rastros deixados Como flores que secaram no chão do nosso passado
Sertanejo Raiz,Tiao Carreiro E Pardinho,As Três Cuiabanas,"Eu nasci numa data feliz bem depois do dia dezesseis Por eu ser um menino sem pai fui criado com titio Inês Titio era cuiabano nessa lida também me criei Ele era criador de gado no seu regime me acostumei Tinha laço couro de mateiro não escapava um rês do mangueiro Eu deixava correr trinta dias por mês Fiz viagem pra Mato Grosso na comitiva de um Calabrês Titio me deu um burro pampa que atendia por nome Truquês Foi tirado da tropa rio grande outra escolha melhor não achei Eu deixei pra mostrar minha ciência quando lá em Mato Grosso cheguei Eu bambeei a rédea do pampa e o laço pegou pelas guampas Berrava na chincha o Zebu Jaguanês Tinha três mocinhas na janela Juviliana, Clarice e Inês Uma delas estava me gabando paulistinha ainda surra vocês Cuiabano quiseram achar ruim o meu trinta na cinta eu bambeei Pra mostra minha ciência melhor por capricho o mestiço soltei Ele tinha as guampas revessa e o laço escapou da cabeça Pelas duas mãos eu lacei outra vez O patrão me chamou lá pra dentro eu entrei com meu jeito cortês Eu entrei no salão de visita lá fiquei arodeado das três Perguntou qual era a mais bonita vejam só que apuro que passei Respondi todas as três são iguais foi do jeito que eu desapurei A mais velha é um flor do campo, a do meio é um cravo vermelho A mais nova é uma rosa quando está de vez Na hora da despedida foi preciso falar o português O meu coração ficou roxo foi da cor de uma alho chinês Eu deixei pra dar meus três suspiros quando o porto pra cá atravessei As meninas me escreveram cartas brevemente a resposta eu mandei Vou tomar linha sorocabana quero ver as três cuiabanas Vou ver Juviliana, Clarice e Inês"
Sertanejo Raiz,Tiao Carreiro E Pardinho,Preto Velho,Perguntei ao preto velho Por que chora meu herói? Preto velho respondeu É meu coração que dói Eu já fui bom candeeiro Fui carreiro e fui peão Já derrubei muito mato E já lavrei muito chão Com carinho carreguei Os filhos do meu patrão Em troca do que eu fiz Só recebi ingratidão Perguntei ao preto velho Por que chora meu herói? Preto velho respondeu É meu coração que dói Sempre chamei de senhor Quem me tratou a chicote Livrei o patrão de cobra Na hora de dar o bote Eu sempre fui a madeira E o patrão foi o serrote Sofri mais do que boi velho Com a canga no cangote Perguntei ao preto velho Por que chora meu herói? Preto velho respondeu É meu coração que dói Da terra eu tirei o ouro Meu patrão fez seu anel Mas agora estou velho E meu patrão mais cruel Está me mandando embora Vou viver de del em del O que me resta é esperar A recompensa do céu
Sertanejo Raiz,Tiao Carreiro E Pardinho,Estrela De Ouro,"Meu Deus, onde está agora a mulher que amo? Será que está sozinha ou acompanhada? Só sei que aqui distante eu estou morrendo Morrendo de saudade dela num mundo de lágrimas Meu Deus, mande que o vento encontre com ela Pra dar minhas tristes notícias com seu açoite Dizer que por não estar abraçado por ela Eu choro meu pranto escondido no colo da noite Meu Deus, eu morro por ela E a ausência dela provoca meu choro Ela é a luz que me ilumina, deusa da minha sina Minha estrela de ouro Meu Deus, eu morro por ela E a ausência dela provoca meu choro Ela é a luz que me ilumina, deusa da minha sina Minha estrela de ouro"
Sertanejo Raiz,Tiao Carreiro E Pardinho,Travessia do Araguaia,"Naquele estradão deserto, uma boiada descia Pras bandas do Araguaia pra fazer a travessia O capataz era um velho de muita sabedoria As ordens eram severas, e a peonada obedecia O ponteiro moço novo, muito desembaraçado Mas era a primeira viagem que fazia nestes lados Não conhecia os tormentos do Araguaia afamado Não sabia que as piranhas eram um perigo danado Ao chegarem na barranca disse o velho boiadeiro Derrubamos um boi n'água deu a ordem ao ponteiro Enquanto as piranhas comem, temos que passar ligeiro Toque logo este boi velho que vale pouco dinheiro Era um boi de aspa grande já roído pelos anos O coitado não sabia do seu destino tirano Sangrado por ferroadas no Araguaia foi entrando As piranhas vieram loucas e o boi foram devorando Enquanto o pobre boi velho ia sendo devorado A boiada foi nadando e saiu do outro lado Naquelas verdes pastagens tudo estava sossegado Disse o velho ao ponteiro, pode ficar descansado O ponteiro revoltado disse que barbaridade Sacrificar um boi velho pra que esta crueldade Respondeu o boiadeiro aprenda esta verdade Que Jesus também morreu pra salvar a humanidade"
Sertanejo Raiz,Tiao Carreiro E Pardinho,Cabelo Loiro,"Cabelo loiro vai lá em casa passear Vai, vai cabelo loiro Vai acabar de me matar Todo velho já foi moço Já gozou a mocidade Eu também já tive amor Hoje só resta saudade Cabelo loiro vai lá em casa passear Vai, vai cabelo loiro Vai acabar de me matar Vou me embora pra bem longe Aqui não posso ficar Vivendo pertinho dela Minha vida e só chorar Cabelo loiro vai lá em casa passear Vai, vai cabelo loiro Vai acabar de me matar Você diz que bala mata Bala não mata ninguém A bala que mais me mata É o desprezo do meu bem Cabelo loiro vai lá em casa passear Vai, vai cabelo loiro Vai acabar de me matar Casa de pobre e ranchinho Casa de rico e de telha Se ter amor fosse crime Minha casa era a cadeia Cabelo loiro vai lá em casa passear Vai, vai cabelo loiro Vai acabar de me matar Quanto mais tu me despreza A dor no meu peito inflama Quem não quero me quer bem Quem eu quero não me ama Cabelo loiro vai lá em casa passear Vai, vai cabelo loiro Vai acabar de me matar Beija-Flor que beija rosa  Se despede do jardim Assim fez o meu amor  Quando despediu de mim Cabelo loiro vai lá em casa passear Vai, vai cabelo loiro Vai acabar de me matar"
Sertanejo Raiz,Tiao Carreiro E Pardinho,Oi Paixão,"Não suportando a saudade, Meu bem, vim lhe visitar Trazendo flores bonitas Pra o nosso amor enfeitar Distante dos teus carinhos, Eu sofro e tanto reclamo Te juro, minha querida Vou terminar minha vida Nos braços de quem eu amo... O, oi, Paixão Nos braços de quem eu amo Nosso amor não tem limite, Não sei onde vai parar Quanto mais você me ama Mais eu quero te amar Uma dor de cotovelo Machuca eu e você Somos dois apaixonados Vive alguém ao nosso lado Fazendo a gente sofrer O, oi, Paixão Fazendo a gente sofrer O nosso caso de amor Está correndo perigo, Mas quem tem anjo de guarda Não cai nas mão do inimigo Somente as forças ocultas Poderão nos castigar, Mas amar não é pecado Deus está do nosso lado Ninguém vai nos separar O, oi, Paixão Ninguém vai nos separar."
Sertanejo Raiz,Tiao Carreiro E Pardinho,A Coisa Tá Feia,"Burro que fugiu do laço tá de baixo da roseta Quem fugiu de canivete foi topar com baioneta Já está no cabo da enxada quem pegava na caneta Quem tinha mãozinha fina foi parar na picareta Já tem doutor na pedreira dando duro na marreta A coisa tá feia, a coisa tá preta Quem não for filho de Deus, tá na unha do capeta Criança na mamadeira, já está fazendo careta Até o leite das crianças virou droga na chupeta Já está pagando o pato, até filho de proveta Mundo velho é uma bomba, girando neste planeta Qualquer dia a bomba estoura é só relar na espoleta A coisa tá feia, a coisa tá preta Quem não for filho de Deus, tá na unha do capeta Quem dava caixinha alta, já está cortando a gorjeta Já não ganha mais esmola nem quem anda de muleta Faz mudança na carroça quem fazia na carreta Colírio de dedo-duro é pimenta malagueta Sopa de caco de vidro é banquete de cagueta A coisa tá feia, a coisa tá preta Quem não for filho de Deus, tá na unha do capeta Quem foi o rei do baralho virou trouxa na roleta Gavião que pegava cobra, já foge de borboleta Se o Picasso fosse vivo ia pintar tabuleta Bezerrada de gravata que se cuide não se meta Quem mamava no governo agora secou a teta A coisa tá feia, a coisa tá preta Quem não for filho de Deus, tá na unha do capeta"
Sertanejo Raiz,Tiao Carreiro E Pardinho,Saudade,"Saudades, palavra rica Que martiriza e fica Dentro de um coração Da felicidade morta Que a saudade conforta Trazida de uma paixão Saudade eu tenho de alguém Uma saudade que vem De uma distância sem fim Será que ela também Na falta de um outro alguém Sente saudades de mim? Eu vivo sempre pensando Meus olhos vivem chorando Não tenho felicidade Estou morrendo aos poucos O que me deixa mais louco É a maldita saudade"
Sertanejo Raiz,Tiao Carreiro E Pardinho,Rio de Lágrimas,O rio de Piracicaba Vai jogar água pra fora Quando chegar a água Dos olhos de alguém que chora Quando chegar a água Dos olhos de alguém que chora Lá no bairro que eu moro Só existe uma nascente A nascente dos meus olhos Já formou água corrente Pertinho da minha casa Já formou uma lagoa Com a lágrima dos meus olhos Por causa de uma pessoa O rio de Piracicaba Vai jogar água pra fora Quando chegar a água Dos olhos de alguém que chora Quando chegar a água Dos olhos de alguém que chora Eu quero apanhar uma rosa Minha mão já não alcança Eu choro desesperado Igualzinho a uma criança Duvido alguém que não chore Pela dor de uma saudade Quero ver quem que não chora Quando ama de verdade O rio de Piracicaba Vai jogar água pra fora Quando chegar a água Dos olhos de alguém que chora Quando chegar a água Dos olhos de alguém que chora Quando chegar a água Sos olhos de alguém que chora Quando chegar a água Sos olhos de alguém que chora Quando chegar a água Dos olhos de alguém que chora
Sertanejo Raiz,Tonico E Tinoco,Moreninha Linda,Meu coração tá pisado Como a flor que murcha e cai Pisado pelo desprezo Do amor quando se vai Deixando a triste lembrança Adeus para nunca mais Moreninha linda do meu bem querer É triste a saudade longe de você O amor nasce sozinho Não é preciso plantar A paixão nasce no peito Farsidade no olhar Você nasceu para outro Eu nasci pra te amar Moreninha linda do meu bem querer É triste a saudade longe de você Eu tenho meu canarinho Que canta quando me vê Eu canto por ter tristeza Canário por padecer Da saudade da floresta Eu saudades de você Moreninha linda do meu bem querer É triste a saudade longe de você
Sertanejo Raiz,Tonico E Tinoco,Beijinho Doce,Que beijinho doce Que ela tem Depois que beijei ela Nunca mais amei ninguém Que beijinho doce Foi ela quem trouxe De longe pra mim Se me abraça apertado Suspira dobrado Que amor sem fim Coração quem manda Quando a gente ama Se eu estou junto dela Sem dar um beijinho Coração reclama Que beijinho doce Foi ela quem trouxe De longe pra mim Se me abraça apertado Suspiro dobrado Que amor sem fim
Sertanejo Raiz,Tonico E Tinoco,Chico Mineiro,"Cada vez que me alembro Do amigo Chico Mineiro Das viagem que nois fazia Era ele meu companheiro Sinto uma tristeza Uma vontade de chorar Alembrando daqueles tempos Que não mais há de voltar Apesar de eu ser patrão Eu tinha no coração O amigo Chico Mineiro Caboclo bom decidido Na viola era dolorido e era o peão dos boiadeiro Hoje porém com tristeza Recordando das proeza Da nossa viagem motin Viajemo mais de dez anos Vendendo boiada e comprando Por esse rincão sem fim Caboclo de nada temia Mas, porém, chegou um dia Que Chico apartou-se de mim Fizemos a última viagem Foi lá pro sertão de Goiás Fui eu e o Chico Mineiro Também foi o capataz Viajamos muitos dias Pra chegar em Ouro Fino Aonde passemo a noite Numa festa do Divino A festa tava tão boa Mas antes não tivesse ido O Chico foi baleado Por um homem desconhecido Larguei de comprar boiada Mataram meu cumpanheiro Acabou-se o som da viola Acabou-se o Chico Mineiro Despois daquela tragédia Fiquei mais aborrecido Não sabia da nossa amizade Porque nois dois era unido Quando vi seu documento Me cortou meu coração Vim saber que o Chico Mineiro Era meu legítimo irmão"
Sertanejo Raiz,Tonico E Tinoco,O Sanfoneiro Só Tocava Isso,"O baile lá na roça foi até o Sol raiar A casa estava cheia, mar se podia andar Estava tão gostoso aquele reboliço Mas é que o sanfoneiro só tocava isso De vez em quando arguém vinha pedindo pra mudar O sanfoneiro ria querendo agradar Diabo que a sanfona tinha quarquer inguiço Mas é que o sanfoneiro só tocava isso O baile lá na roça foi até o Sol raiar A casa estava cheia, mar se podia andar Estava tão gostoso aquele reboliço Mas é que o sanfoneiro só tocava isso De vez em quando arguém vinha pedindo pra mudar O sanfoneiro ria querendo agradar Diabo que a sanfona tinha quarquer inguiço Mas é que o sanfoneiro só tocava isso"
Sertanejo Raiz,Tonico E Tinoco,Cana Verde,"Abra a porta e a janela  Venha ver quem é que eu sô  Sô aquele desprezado  Que você me desprezô  Eu já fiz um juramento  De nunca mais ter amô  Pra viver penar chorando  Por tudo lugar que eu vô  Quem canta, seu mal espanta  Chorando será pió  O amô que vai e volta  Na volta, sempre é mió  Chora viola e sanfona  Chora triste o violão  Tu que é madeira chora  Quem dirá meu coração"
Sertanejo Raiz,Tonico E Tinoco,Canoeiro,"Domingo de tardezinha eu estava mesmo à toa Convidei meus companheiro pra ir pescar na lagoa Levamo a rede de lance, ai, ai, fomo pescar de canoa! Eu levei meus apreparo pra dá uma pescada boa Saímo cortando água na minha velha canoa A garça avistei de longe, ai, ai, chego perto ela avoa Fui descendo rio abaixo, remando minha canoa Eu entrei numa vazante, fui sair noutra lagoa É o remanso do Rio Pardo, ai, ai, onde os pintado amoa Pra pegar peixe dos bão dá trabalho, a gente soa Eu jogo timbó na água com isso os peixe atordoa Jogo a rede e dou um grito, (ih) ai, ai, os dourado amontoa O rio estava enchendo muito tava cobrindo a taboa Acompanhei a maré, e encostei minha canoa Cada remada que eu dava, ai, ai, dava um balanço na proa"
Sertanejo Raiz,Tonico E Tinoco,Tristeza do Jeca,"Nestes versos tão singelos Minha bela, meu amor Pra mecê quero contar O meu sofrer, a minha dor Eu sou como o sabiá Que quando canta é só tristeza Desde o galho onde ele está Nesta viola eu canto e gemo de verdade Cada toada representa uma saudade Eu nasci naquela serra Num ranchinho a beira-chão Tudo cheio de buraco A'donde a Lua faz clarão Quando chega a madrugada Lá no mato a passarada Principia o barulhão Nesta viola eu canto e gemo de verdade Cada toada representa uma saudade E o choro que vai caindo Devagar vai-se sumindo Como as águas vai pro mar"
Sertanejo Raiz,Tonico E Tinoco,Cabocla Tereza,"Lá no alto da montanha Numa casinha estranha Toda feita de sapê Parei numa noite à cavalo Pra mór de dois estalos Que ouvi lá dentro bate Apeei com muito jeito Ouvi um gemido perfeito Uma voz cheia de dor Vancê, Tereza, descansa Jurei de fazer a vingança Pra morte do meu amor Pela réstia da janela Por uma luzinha amarela De um lampião quase apagando Vi uma cabocla no chão E um cabra tinha na mão Uma arma alumiando Virei meu cavalo a galope Risquei de espora e chicote Sangrei a anca do tar Desci a montanha abaixo Galopando meu macho O seu doutô fui chamar Vortamo lá pra montanha Naquela casinha estranha Eu e mais seu doutô Topemo o cabra assustado Que chamou nóis prum lado E a sua história contou Há tempo eu fiz um ranchinho Pra minha cabocla morá Pois era ali nosso ninho Bem longe deste lugar No arto lá da montanha Perto da luz do luar Vivi um ano feliz Sem nunca isso esperá E muito tempo passou Pensando ser tão feliz Mas a Tereza, doutor Felicidade não quis O meu sonho nesse oiá Paguei caro meu amor Pra mór de outro caboclo Meu rancho ela abandonou Senti meu sangue fervê Jurei a Tereza matá O meu alazão arriei E ela eu vô percurá Agora já me vinguei É esse o fim de um amor Esta cabocla eu matei É a minha história, dotor"
Sertanejo Raiz,Tonico E Tinoco,Chitãozinho e Xororó,Eu não troco meu ranchinho Amarradinho de cipó Por uma casa na cidade Nem que seja bangalô Eu moro lá no deserto Sem vizinho eu vivo só Só me alegra quando pia Lá praqueles cafundó O inhambu-xitã e o xororó É o inhambu-xitã e o xororó Quando rompe a madrugada Canta o galo carijó Pia triste a coruja Na cumeeira do paiol Quando vai o entardecer Pia triste o jaó Só me alegra quando pia Lá praqueles cafundó É o inhambu-xitã e o xororó É o inhambu-xitã e o xororó não me dou com a terra roxa Nem com a seca larga pó Na baixada do areião Eu sinto um prazer maior A rolinha quando anda No areião faz caracó Só me alegra quando pia Lá praqueles cafundó É o inhambu-xitã e o xororó É o inhambu-xitã e o xororó Eu faço minha caçada Bem antes de sair o Sol Espingarda de cartucho Patrona de tiracó Tenho buzina e cachorro Pra fazer forrobodó Só me alegra quando pia Lá praqueles cafundó É o inhambu-xitã e o xororó É o inhambu-xitã e o xororó Quando eu sei de uma noticia Que outro canta melhor Meu coração dá um balanço Fica meio banzaró Suspiro sai do meu peito Que nem bala Gévelot Só me alegra quando pia Lá praqueles cafundó É o inhambu-xitã e o xororó É o inhambu-xitã e o xororó
Sertanejo Raiz,Tonico E Tinoco,Moda da Mula Preta,"Eu tenho uma mula preta tem sete parmo de artura (Ai, ai ai) A mula é descanelada tem uma linda figura (Ai, ai ai) Tira fogo na carçada no rampão da ferradura (Ai, ai ai) Com morena delicada na garupa faz figura (Ai, ai ai) A mula fica enjoada pisa só de andadura (Ai, ai ai) Ensino da criação veja quanto que regula (Ai, ai ai) O defeito do mulão se eu contá ninguém carcula (Ai, ai ai) Moça feia e marmanjão na garupa a mula pula (Ai, ai ai) Chega a fazer cerração todos pulo dessa mula (Ai, ai ai) Cara muda de feição sendo preto fica fula (Ai, ai ai) Eu fui passear na cidade só numa vorta que eu dei (Ai, ai ai) A mula deixou saudade no lugar onde eu passei (Ai, ai ai) Pro mulão de qualidade quatro milhão injeitei (Ai, ai ai) Pra dizer mesmo a verdade nem satisfação eu dei (Ai, ai ai) Fui dizendo boa tarde pra minha casa vortei (Ai, ai ai) Sortei a mula no pasto veja o que me aconteceu (Ai, ai ai) Uma cobra venenosa a minha mula mordeu (Ai, ai ai) Com veneno desta cobra a mula nem se mexeu (Ai, ai ai) Só durou umas quatro hora depois a mula morreu (Ai, ai ai) Acabou-se a mula preta que tanto gosto me deu (Que tanto gosto me deu)"
